N,종목명,현재가,전일비,등락률,액면가,매수호가
139.0,TIGER 미국필라델피아반도체나스닥,17730.0,하락  220,-1.23%,0.0,17730.0
140.0,한전기술,61300.0,상승  300,+0.49%,200.0,61300.0
141.0,영원무역,52700.0,하락  100,-0.19%,500.0,52600.0
142.0,이마트,83700.0,"상승  4,800",+6.08%,5000.0,83600.0
143.0,대한전선,12510.0,하락  190,-1.50%,1000.0,12500.0
144.0,에스원,61300.0,"하락  1,100",-1.76%,500.0,61200.0
145.0,TIGER 200,35775.0,상승  160,+0.45%,0.0,35775.0
146.0,KODEX 레버리지,17175.0,상승  140,+0.82%,0.0,17175.0
147.0,한화생명,2600.0,하락  75,-2.80%,5000.0,2600.0
148.0,아시아나항공,10610.0,상승  340,+3.31%,5000.0,10610.0
149.0,DB하이텍,49000.0,"상승  1,250",+2.62%,5000.0,49000.0
150.0,현대엘리베이,54400.0,상승  200,+0.37%,5000.0,54400.0
151.0,KODEX 미국나스닥100,19225.0,하락  130,-0.67%,0.0,19220.0
152.0,TIGER MSCI Korea TR,14990.0,상승  15,+0.10%,0.0,14985.0
153.0,제일기획,18030.0,상승  30,+0.17%,200.0,17990.0
154.0,현대해상,22950.0,하락  100,-0.43%,500.0,22950.0
155.0,코스맥스,180500.0,하락  100,-0.06%,500.0,180400.0
156.0,한화엔진,24450.0,상승  250,+1.03%,1000.0,24450.0
157.0,TIGER 미국배당다우존스,12960.0,하락  30,-0.23%,0.0,12955.0
158.0,ACE 미국30년국채액티브(H),8100.0,하락  35,-0.43%,0.0,8095.0
159.0,KODEX CD1년금리플러스액티브(합성),1023395.0,상승  65,+0.01%,0.0,1023390.0
160.0,CJ대한통운,87400.0,하락  400,-0.46%,5000.0,87400.0
161.0,BGF리테일,112800.0,"상승  2,700",+2.45%,1000.0,112600.0
162.0,한미사이언스,28400.0,상승  200,+0.71%,500.0,28200.0
163.0,한전KPS,43150.0,상승  600,+1.41%,200.0,43150.0
164.0,ACE 미국S&P500,20820.0,하락  90,-0.43%,0.0,20815.0
165.0,팬오션,3585.0,상승  65,+1.85%,1000.0,3560.0
166.0,HL만도,40300.0,하락  700,-1.71%,1000.0,40300.0
167.0,TIGER 차이나전기차SOLACTIVE,10530.0,하락  375,-3.44%,0.0,10530.0
168.0,롯데쇼핑,65400.0,상승  800,+1.24%,5000.0,65400.0
169.0,산일전기,60100.0,"하락  1,900",-3.06%,500.0,60100.0
170.0,풍산,65100.0,"하락  2,200",-3.27%,5000.0,65100.0
171.0,HD현대인프라코어,9450.0,하락  40,-0.42%,1000.0,9450.0
172.0,SK아이이테크놀로지,25400.0,"하락  1,000",-3.79%,1000.0,25400.0
173.0,더존비즈온,58100.0,"상승  2,000",+3.57%,500.0,58000.0
174.0,에스엘,38000.0,"상승  1,550",+4.25%,500.0,38000.0
175.0,오뚜기,426500.0,"상승  3,000",+0.71%,5000.0,426500.0
176.0,아모레G,21400.0,보합0,0.00%,500.0,21400.0
177.0,KODEX 단기채권PLUS,113875.0,보합0,0.00%,0.0,113875.0
178.0,DL이앤씨,42050.0,상승  50,+0.12%,5000.0,41900.0
179.0,코리안리,8110.0,상승  10,+0.12%,500.0,8100.0
180.0,호텔신라,40150.0,"상승  1,200",+3.08%,5000.0,40100.0
181.0,씨에스윈드,37300.0,하락  300,-0.80%,500.0,37250.0
182.0,코스모신소재,48050.0,"하락  1,200",-2.44%,1000.0,48050.0
183.0,한국콜마,66100.0,상승  300,+0.46%,500.0,66100.0
184.0,녹십자,132000.0,"하락  1,500",-1.12%,5000.0,132000.0
185.0,TIGER 25-10 회사채(A+이상)액티브,54600.0,상승  10,+0.02%,0.0,54595.0
186.0,한국앤컴퍼니,16110.0,하락  140,-0.86%,500.0,16110.0
187.0,이수스페셜티케미컬,50500.0,"하락  6,100",-10.78%,1000.0,50500.0
188.0,한솔케미칼,133900.0,하락  100,-0.07%,5000.0,133900.0
189.0,동원산업,38000.0,상승  200,+0.53%,1000.0,37800.0
190.0,GS건설,17580.0,상승  90,+0.51%,5000.0,17570.0
191.0,DGB금융지주,9010.0,하락  110,-1.21%,5000.0,9010.0
192.0,한올바이오파마,28550.0,하락  850,-2.89%,500.0,28550.0
193.0,KODEX 코스닥150레버리지,7260.0,하락  260,-3.46%,0.0,7255.0
194.0,신세계,146700.0,"하락  1,400",-0.95%,5000.0,146700.0
195.0,OCI홀딩스,76200.0,"하락  3,400",-4.27%,5000.0,76200.0
196.0,금호타이어,4950.0,상승  60,+1.23%,5000.0,4945.0
197.0,SK리츠,5100.0,상승  80,+1.59%,500.0,5090.0
198.0,하이트진로,19740.0,상승  250,+1.28%,5000.0,19740.0
199.0,ACE 미국나스닥100,21975.0,하락  160,-0.72%,0.0,21970.0
200.0,RISE 종합채권(A-이상)액티브,109695.0,하락  40,-0.04%,0.0,109690.0
201.0,대웅제약,118300.0,하락  100,-0.08%,2500.0,118200.0
202.0,롯데에너지머티리얼즈,25950.0,하락  500,-1.89%,500.0,25950.0
203.0,대우건설,3250.0,하락  70,-2.11%,5000.0,3250.0
204.0,신영증권,80800.0,상승  700,+0.87%,5000.0,80700.0
205.0,영원무역홀딩스,96700.0,보합0,0.00%,500.0,96700.0
206.0,일진전기,27600.0,"하락  1,000",-3.50%,1000.0,27600.0
207.0,현대백화점,58100.0,"상승  1,200",+2.11%,5000.0,58100.0
208.0,HD현대건설기계,70300.0,상승  100,+0.14%,5000.0,70300.0
209.0,HDC현대산업개발,19380.0,상승  180,+0.94%,5000.0,19380.0
210.0,TIGER 미국30년국채커버드콜액티브(H),8605.0,하락  25,-0.29%,0.0,8605.0
211.0,GS리테일,15140.0,상승  490,+3.34%,1000.0,15090.0
212.0,DN오토모티브,21450.0,상승  100,+0.47%,100.0,21450.0
213.0,현대위아,45850.0,"하락  1,200",-2.55%,5000.0,45850.0
214.0,KODEX 200선물인버스2X,2045.0,하락  15,-0.73%,0.0,2040.0
215.0,한일시멘트,16940.0,상승  140,+0.83%,500.0,16830.0
216.0,에스디바이오센서,9600.0,하락  450,-4.48%,500.0,9600.0
217.0,롯데웰푸드,123400.0,하락  400,-0.32%,500.0,123400.0
218.0,RISE 200,36125.0,상승  155,+0.43%,0.0,36125.0
219.0,ACE KRX금현물,20350.0,하락  100,-0.49%,0.0,20350.0
220.0,대웅,19670.0,하락  380,-1.90%,500.0,19660.0
221.0,SNT다이내믹스,34100.0,상승  550,+1.64%,2500.0,34100.0
222.0,TIGER 25-12 금융채(AA-이상),50835.0,보합0,0.00%,0.0,50825.0
223.0,경동나비엔,76100.0,하락  800,-1.04%,1000.0,76100.0
224.0,종근당,80200.0,하락  500,-0.62%,2500.0,80200.0
225.0,KODEX 삼성그룹,8725.0,상승  55,+0.63%,0.0,8725.0
226.0,더블유게임즈,50500.0,하락  500,-0.98%,500.0,50400.0
227.0,메리츠 KIS CD금리투자 ETN,53620.0,상승  5,+0.01%,0.0,53610.0
228.0,롯데렌탈,29650.0,보합0,0.00%,5000.0,29600.0
229.0,ESR켄달스퀘어리츠,5040.0,상승  60,+1.20%,1000.0,5010.0
230.0,LS에코에너지,35050.0,보합0,0.00%,500.0,35050.0
231.0,세아제강지주,257000.0,상승  500,+0.19%,5000.0,254500.0
232.0,동원시스템즈,36500.0,하락  550,-1.48%,5000.0,36450.0
233.0,롯데정밀화학,41000.0,하락  150,-0.36%,5000.0,41000.0
234.0,TIGER CD1년금리액티브(합성),1039735.0,상승  95,+0.01%,0.0,1039730.0
235.0,롯데칠성,111900.0,상승  700,+0.63%,500.0,111900.0
236.0,TIGER 차이나항셍테크,9200.0,하락  350,-3.66%,0.0,9200.0
237.0,롯데리츠,3530.0,하락  20,-0.56%,500.0,3510.0
238.0,한샘,43250.0,하락  250,-0.57%,1000.0,43250.0
