N,종목명,현재가,전일비,등락률,액면가,매수호가
713.0,KODEX 미국나스닥100레버리지(합성 H),10390.0,하락  180,-1.70%,0.0,10385.0
714.0,퍼스텍,3610.0,하락  55,-1.50%,500.0,3610.0
715.0,TIGER 미국나스닥100TR채권혼합Fn,12745.0,하락  25,-0.20%,0.0,12740.0
716.0,미원화학,79900.0,보합0,0.00%,1000.0,79900.0
717.0,웅진씽크빅,1518.0,하락  21,-1.36%,500.0,1518.0
718.0,RISE 25-06 은행채(AA+이상)액티브,51395.0,보합0,0.00%,0.0,51390.0
719.0,디아이씨,4475.0,상승  120,+2.76%,500.0,4470.0
720.0,ACE 미국빅테크7+데일리타겟커버드콜(합성),10420.0,하락  50,-0.48%,0.0,10420.0
721.0,한투 레버리지 S&P500 선물 ETN(H),34715.0,하락  615,-1.74%,0.0,34715.0
722.0,AJ네트웍스,3830.0,보합0,0.00%,1000.0,3820.0
723.0,LG우,57200.0,하락  300,-0.52%,5000.0,57200.0
724.0,KODEX 코리아밸류업,10445.0,상승  35,+0.34%,0.0,10415.0
725.0,롯데하이마트,7300.0,하락  100,-1.35%,5000.0,7300.0
726.0,삼화페인트,6290.0,보합0,0.00%,500.0,6290.0
727.0,씨케이솔루션,15590.0,"하락  1,590",-9.25%,100.0,15580.0
728.0,동화약품,6090.0,하락  40,-0.65%,1000.0,6080.0
729.0,KIWOOM CD금리액티브(합성),106440.0,상승  15,+0.01%,0.0,106440.0
730.0,사조산업,33950.0,하락  250,-0.73%,5000.0,33950.0
731.0,미원홀딩스,72800.0,하락  600,-0.82%,500.0,72800.0
732.0,진양홀딩스,3010.0,하락  15,-0.50%,500.0,3005.0
733.0,제일약품,11440.0,하락  260,-2.22%,500.0,11430.0
734.0,BYC,26900.0,하락  50,-0.19%,500.0,26800.0
735.0,SK디앤디,9020.0,하락  110,-1.20%,1000.0,9010.0
736.0,조선내화,14150.0,하락  80,-0.56%,500.0,14150.0
737.0,TIGER 차이나과창판STAR50(합성),8485.0,하락  200,-2.30%,0.0,8485.0
738.0,코오롱글로벌,8790.0,상승  20,+0.23%,5000.0,8750.0
739.0,일성건설,3075.0,하락  225,-6.82%,500.0,3075.0
740.0,진원생명과학,2070.0,하락  35,-1.66%,1000.0,2065.0
741.0,콘텐트리중앙,8600.0,상승  280,+3.37%,5000.0,8570.0
742.0,ACE 엔비디아채권혼합블룸버그,21455.0,하락  5,-0.02%,0.0,21445.0
743.0,RISE 단기국공채액티브,112400.0,상승  5,0.00%,0.0,112395.0
744.0,일진다이아,11560.0,하락  150,-1.28%,1000.0,11560.0
745.0,ACE 엔비디아밸류체인액티브,8145.0,하락  165,-1.99%,0.0,8140.0
746.0,오리엔트바이오,1380.0,하락  158,-10.27%,500.0,1380.0
747.0,ACE 11월만기자동연장회사채AA-이상액티브,10565.0,보합0,0.00%,0.0,10560.0
748.0,한세예스24홀딩스,4080.0,하락  10,-0.24%,500.0,4080.0
749.0,한국석유,12830.0,상승  30,+0.23%,500.0,12830.0
750.0,아주스틸,4200.0,상승  5,+0.12%,500.0,4200.0
751.0,DH오토넥스,1984.0,보합0,0.00%,500.0,0.0
752.0,KEC,800.0,하락  9,-1.11%,500.0,800.0
753.0,한국공항,50700.0,상승  100,+0.20%,5000.0,50600.0
754.0,이구산업,4800.0,하락  170,-3.42%,500.0,4800.0
755.0,TIGER 미국채10년선물,13025.0,상승  35,+0.27%,0.0,13020.0
756.0,인스코비,1339.0,하락  35,-2.55%,500.0,1339.0
757.0,TIGER 코리아밸류업,10420.0,하락  15,-0.14%,0.0,10420.0
758.0,KODEX 미국종합채권ESG액티브(H),102345.0,하락  190,-0.19%,0.0,102320.0
759.0,SOL 미국AI전력인프라,12750.0,하락  170,-1.32%,0.0,12745.0
760.0,금호석유우,52500.0,하락  500,-0.94%,5000.0,52500.0
761.0,에이프로젠바이오로직스,800.0,하락  13,-1.60%,500.0,798.0
762.0,대동전자,15040.0,보합0,0.00%,500.0,0.0
763.0,경동인베스트,66500.0,"상승  3,200",+5.06%,5000.0,66500.0
764.0,신한 블룸버그 2X 천연가스 선물 ETN,10455.0,"하락  1,680",-13.84%,0.0,10450.0
765.0,대신증권2우B,15600.0,상승  20,+0.13%,5000.0,15590.0
766.0,NH올원리츠,3555.0,하락  5,-0.14%,500.0,3545.0
767.0,한독,11290.0,상승  40,+0.36%,500.0,11280.0
768.0,노루페인트,7760.0,하락  10,-0.13%,500.0,7760.0
769.0,KoAct 바이오헬스케어액티브,13605.0,하락  55,-0.40%,0.0,13600.0
770.0,TIGER 국고채30년스트립액티브,63500.0,하락  30,-0.05%,0.0,63500.0
771.0,한양증권,12110.0,하락  130,-1.06%,5000.0,12110.0
772.0,대성산업,3395.0,상승  10,+0.30%,5000.0,3395.0
773.0,S-Oil우,38150.0,보합0,0.00%,2500.0,38050.0
774.0,한국제지,802.0,상승  1,+0.12%,1000.0,802.0
775.0,강남제비스코,23450.0,하락  300,-1.26%,1000.0,23450.0
776.0,KODEX 미국배당다우존스타겟커버드콜,10635.0,하락  25,-0.23%,0.0,10630.0
777.0,이지스레지던스리츠,4120.0,하락  10,-0.24%,1000.0,4120.0
778.0,일신석재,1958.0,하락  7,-0.36%,500.0,1958.0
779.0,ACE 미국500데일리타겟커버드콜(합성),10385.0,하락  10,-0.10%,0.0,10380.0
780.0,우진,7460.0,상승  60,+0.81%,500.0,7450.0
781.0,CJ우,66900.0,하락  100,-0.15%,5000.0,66900.0
782.0,메리츠 3X 레버리지 국채30년 ETN,75600.0,하락  215,-0.28%,0.0,75535.0
783.0,SOL 미국테크TOP10,11830.0,하락  110,-0.92%,0.0,11825.0
784.0,삼성출판사,14950.0,하락  70,-0.47%,500.0,14950.0
785.0,대한화섬,112500.0,하락  500,-0.44%,5000.0,112500.0
786.0,RISE 2차전지액티브,6475.0,하락  115,-1.75%,0.0,6465.0
787.0,HLB글로벌,2965.0,하락  655,-18.09%,500.0,2960.0
788.0,방림,3700.0,하락  60,-1.60%,500.0,3695.0
789.0,RISE 25-11 회사채(AA-이상)액티브,52645.0,보합0,0.00%,0.0,52640.0
790.0,TIGER 미국S&P500선물(H),60605.0,하락  415,-0.68%,0.0,60590.0
791.0,현대리바트,7230.0,상승  10,+0.14%,1000.0,7230.0
792.0,삼성제약,1575.0,상승  9,+0.57%,500.0,1574.0
793.0,SG글로벌,3285.0,하락  120,-3.52%,500.0,3280.0
794.0,효성화학,38900.0,보합0,0.00%,5000.0,0.0
795.0,대창단조,5160.0,상승  30,+0.58%,500.0,5150.0
796.0,대영포장,1360.0,하락  34,-2.44%,500.0,1360.0
797.0,RISE 국고채3년,109820.0,하락  25,-0.02%,0.0,109790.0
798.0,사조동아원,1039.0,보합0,0.00%,500.0,1039.0
799.0,TIGER 미국배당다우존스타겟데일리커버드콜,9805.0,하락  40,-0.41%,0.0,9805.0
800.0,그린케미칼,6080.0,하락  150,-2.41%,500.0,6080.0
801.0,벽산,2150.0,하락  40,-1.83%,500.0,2150.0
802.0,HANARO 종합채권(AA-이상)액티브,114675.0,하락  40,-0.03%,0.0,114545.0
803.0,TIGER 글로벌혁신블루칩TOP10,15610.0,하락  70,-0.45%,0.0,15610.0
804.0,NPC,3925.0,하락  40,-1.01%,500.0,3925.0
805.0,태림포장,2035.0,하락  20,-0.97%,500.0,2035.0
806.0,삼성 인버스 2X WTI원유 선물 ETN,96.0,하락  3,-3.03%,0.0,95.0
807.0,삼양통상,47850.0,하락  550,-1.14%,5000.0,47850.0
808.0,유수홀딩스,5500.0,상승  20,+0.36%,2500.0,5490.0
809.0,KODEX 미국S&P500선물(H),25320.0,하락  220,-0.86%,0.0,25320.0
810.0,ACE 미국WideMoat동일가중,26645.0,하락  200,-0.75%,0.0,26640.0
811.0,KODEX 2차전지핵심소재10,4335.0,하락  55,-1.25%,0.0,4335.0
812.0,한국주철관,6220.0,하락  70,-1.11%,500.0,6220.0
813.0,한투 코스피 양매도 5% OTM ETN,9445.0,하락  5,-0.05%,0.0,9440.0
814.0,동양,592.0,하락  17,-2.79%,500.0,591.0
815.0,태경산업,4825.0,하락  55,-1.13%,500.0,4825.0
816.0,신라교역,8770.0,보합0,0.00%,500.0,8770.0
817.0,이수화학,6170.0,하락  70,-1.12%,5000.0,6170.0
818.0,삼성공조,17170.0,하락  980,-5.40%,500.0,17170.0
819.0,KODEX 차이나CSI300,12695.0,하락  210,-1.63%,0.0,12695.0
820.0,신흥,14620.0,하락  60,-0.41%,500.0,14620.0
821.0,TIGER 미국MSCI리츠(합성 H),12640.0,하락  125,-0.98%,0.0,12640.0
822.0,유니켐,1416.0,하락  28,-1.94%,500.0,1415.0
823.0,TIGER BBIG,5995.0,상승  25,+0.42%,0.0,5975.0
824.0,한투 인버스 2X 코스닥150선물 ETN,6860.0,상승  225,+3.39%,0.0,6860.0
825.0,AK홀딩스,10350.0,하락  140,-1.33%,5000.0,10350.0
826.0,한국무브넥스,4500.0,하락  70,-1.53%,1000.0,4500.0
827.0,선진,5750.0,상승  30,+0.52%,500.0,5730.0
828.0,효성ITX,11820.0,하락  40,-0.34%,500.0,11820.0
829.0,삼영,4015.0,하락  40,-0.99%,500.0,4015.0
830.0,태경케미컬,11750.0,하락  40,-0.34%,500.0,11750.0
831.0,에스엠벡셀,1221.0,상승  1,+0.08%,500.0,1202.0
832.0,한솔테크닉스,4215.0,하락  20,-0.47%,5000.0,4210.0
833.0,TIGER 미국AI빅테크10타겟데일리커버드콜,9500.0,하락  20,-0.21%,0.0,9500.0
834.0,경보제약,5620.0,하락  120,-2.09%,500.0,5610.0
835.0,SOL 미국S&P500,17200.0,하락  100,-0.58%,0.0,17195.0
836.0,TIGER 인도빌리언컨슈머,9860.0,상승  135,+1.39%,0.0,9860.0
837.0,신원,1306.0,하락  28,-2.10%,500.0,1306.0
838.0,RISE 국고채10년액티브,107200.0,하락  60,-0.06%,0.0,107155.0
839.0,HK 종합채권(AA-이상)액티브,110980.0,보합0,0.00%,0.0,110860.0
840.0,SOL 2차전지소부장Fn,4160.0,하락  60,-1.42%,0.0,4160.0
841.0,KODEX 바이오,7845.0,하락  115,-1.44%,0.0,7840.0
842.0,디씨엠,11670.0,상승  10,+0.09%,500.0,11660.0
843.0,삼성물산우B,90600.0,"상승  1,400",+1.57%,100.0,90600.0
844.0,KIWOOM 26-09회사채(AA-이상)액티브,52530.0,보합0,0.00%,0.0,52515.0
845.0,디와이파워,11900.0,하락  80,-0.67%,500.0,11900.0
846.0,유화증권,2315.0,하락  5,-0.22%,1000.0,2315.0
847.0,SOL 25-09 회사채(AA-이상)액티브,54010.0,상승  10,+0.02%,0.0,54005.0
848.0,RISE 코스피,27550.0,상승  15,+0.05%,0.0,27580.0
849.0,TIGER 미국나스닥100레버리지(합성),22690.0,하락  230,-1.00%,0.0,22670.0
850.0,유니퀘스트,6040.0,하락  90,-1.47%,500.0,6040.0
851.0,KIWOOM 미국양자컴퓨팅,8110.0,하락  600,-6.89%,0.0,8100.0
852.0,파워 종합채권(AA-이상)액티브,102440.0,보합0,0.00%,0.0,102325.0
853.0,TIGER 바이오TOP10,7600.0,하락  235,-3.00%,0.0,7600.0
854.0,아모레G3우(전환),18100.0,하락  50,-0.28%,500.0,18070.0
855.0,WON 전단채플러스액티브,50820.0,하락  5,-0.01%,0.0,50820.0
856.0,KH 필룩스,6630.0,보합0,0.00%,500.0,0.0
857.0,KODEX AI전력핵심설비,9930.0,하락  380,-3.69%,0.0,9930.0
858.0,유한양행우,108300.0,"하락  4,600",-4.07%,1000.0,107800.0
859.0,신세계푸드,33000.0,상승  900,+2.80%,5000.0,32800.0
860.0,TIGER 글로벌비만치료제TOP2Plus,10365.0,상승  30,+0.29%,0.0,10340.0
861.0,1Q 현대차그룹채권(A+이상)&국고통안,50840.0,상승  10,+0.02%,0.0,50830.0
862.0,페이퍼코리아,708.0,상승  13,+1.87%,500.0,708.0
863.0,아시아나IDT,11270.0,상승  20,+0.18%,500.0,11200.0
864.0,대창,1371.0,하락  39,-2.77%,500.0,1371.0
865.0,조선선재,99300.0,상승  400,+0.40%,500.0,99300.0
866.0,RISE IT플러스,15570.0,상승  170,+1.10%,0.0,15525.0
867.0,SOL 국고채10년,108710.0,하락  185,-0.17%,0.0,108690.0
868.0,자이에스앤디,3200.0,하락  25,-0.78%,1000.0,3200.0
869.0,경인양행,2970.0,상승  5,+0.17%,500.0,2960.0
870.0,키다리스튜디오,3315.0,하락  35,-1.04%,500.0,3310.0
871.0,두산2우B,136800.0,상승  800,+0.59%,5000.0,136200.0
872.0,KIB플러그에너지,515.0,보합0,0.00%,500.0,0.0
873.0,태경비케이,4415.0,하락  40,-0.90%,500.0,4415.0
874.0,HK 26-12 회사채(AA-이상)액티브,100950.0,보합0,0.00%,0.0,100935.0
875.0,덕성,7750.0,상승  540,+7.49%,500.0,7750.0
876.0,금호에이치티,568.0,상승  3,+0.53%,500.0,568.0
877.0,제일파마홀딩스,7600.0,하락  60,-0.78%,500.0,7550.0
878.0,KODEX 미국AI테크TOP10,10115.0,하락  90,-0.88%,0.0,10110.0
879.0,STX,3895.0,하락  80,-2.01%,2500.0,3890.0
880.0,샘표,41950.0,하락  350,-0.83%,1000.0,41900.0
881.0,HS효성,32250.0,"하락  1,450",-4.30%,5000.0,32250.0
882.0,아남전자,1548.0,상승  14,+0.91%,500.0,1547.0
883.0,동남합성,34100.0,하락  150,-0.44%,500.0,34050.0
884.0,TIGER 200 중공업,6890.0,상승  35,+0.51%,0.0,6875.0
885.0,계룡건설,13320.0,하락  20,-0.15%,5000.0,13320.0
886.0,샘표식품,26000.0,하락  400,-1.52%,500.0,26000.0
887.0,KODEX K-로봇액티브,14315.0,하락  205,-1.41%,0.0,14315.0
888.0,휴니드,8340.0,하락  130,-1.53%,5000.0,8340.0
889.0,SJG세종,4230.0,상승  5,+0.12%,500.0,4225.0
890.0,금강공업,4005.0,보합0,0.00%,1000.0,4005.0
891.0,KODEX 200미국채혼합,13570.0,상승  70,+0.52%,0.0,13565.0
892.0,수산중공업,1875.0,하락  50,-2.60%,500.0,1875.0
893.0,극동유화,3355.0,상승  10,+0.30%,500.0,3345.0
894.0,1Q K200액티브,11460.0,상승  50,+0.44%,0.0,11425.0
895.0,HDC현대EP,3650.0,하락  5,-0.14%,500.0,3640.0
896.0,1Q 25-08 회사채(A+이상)액티브,108000.0,상승  10,+0.01%,0.0,107995.0
897.0,청호ICT,2490.0,보합0,0.00%,500.0,0.0
898.0,신한 레버리지 은 선물 ETN(H),11600.0,하락  495,-4.09%,0.0,11595.0
899.0,CJ씨푸드,3210.0,상승  15,+0.47%,500.0,3205.0
900.0,티와이홀딩스,2275.0,하락  210,-8.45%,500.0,2270.0
901.0,TIGER 코스닥150,12190.0,하락  205,-1.65%,0.0,12180.0
902.0,ACE 중국본토CSI300,28810.0,하락  405,-1.39%,0.0,28800.0
903.0,TIGER 소프트웨어,8115.0,상승  60,+0.74%,0.0,8100.0
904.0,세아특수강,13220.0,하락  20,-0.15%,5000.0,13220.0
905.0,대성홀딩스,7030.0,하락  20,-0.28%,1000.0,7020.0
906.0,종근당바이오,20600.0,상승  50,+0.24%,2500.0,20550.0
907.0,우신시스템,6130.0,하락  40,-0.65%,500.0,6120.0
908.0,KTcs,2625.0,하락  10,-0.38%,500.0,2620.0
909.0,KCTC,3730.0,상승  5,+0.13%,500.0,3730.0
910.0,TIGER 미디어컨텐츠,5500.0,상승  100,+1.85%,0.0,5490.0
911.0,TIMEFOLIO 글로벌우주테크&방산액티브,14890.0,하락  270,-1.78%,0.0,14890.0
912.0,TIMEFOLIO K바이오액티브,11875.0,하락  65,-0.54%,0.0,11875.0
913.0,HS애드,6640.0,보합0,0.00%,1000.0,6640.0
914.0,한국화장품,6830.0,상승  170,+2.55%,500.0,6830.0
915.0,미래에셋글로벌리츠,2770.0,보합0,0.00%,1000.0,2765.0
916.0,진흥기업,754.0,하락  4,-0.53%,500.0,754.0
917.0,KODEX AI반도체핵심장비,9570.0,상승  195,+2.08%,0.0,9560.0
918.0,한국수출포장,2735.0,하락  15,-0.55%,500.0,2735.0
919.0,KODEX 미국나스닥100선물(H),22670.0,하락  235,-1.03%,0.0,22665.0
920.0,한투 나스닥 100 ETN,21750.0,하락  165,-0.75%,0.0,21725.0
921.0,만호제강,26050.0,상승  350,+1.36%,1000.0,26050.0
922.0,TIGER 미국다우존스30,30085.0,하락  50,-0.17%,0.0,30080.0
923.0,TIGER 미국AI빅테크10,10440.0,하락  115,-1.09%,0.0,10440.0
924.0,인천도시가스,24500.0,하락  200,-0.81%,5000.0,24500.0
925.0,KIWOOM 25-09 회사채(AA-이상)액티브,50980.0,보합0,0.00%,0.0,50975.0
926.0,BNK 26-06 특수채(AAA이상)액티브,50530.0,보합0,0.00%,0.0,50510.0
927.0,KODEX 은선물(H),5960.0,하락  110,-1.81%,0.0,5955.0
928.0,대호에이엘,1573.0,상승  51,+3.35%,500.0,1570.0
929.0,신일전자,1499.0,하락  11,-0.73%,500.0,1498.0
930.0,동방,2220.0,하락  45,-1.99%,1000.0,2220.0
931.0,마이티 26-09 특수채(AAA)액티브,105250.0,상승  40,+0.04%,0.0,105220.0
932.0,ACE 미국30년국채엔화노출액티브(H),9755.0,하락  60,-0.61%,0.0,9750.0
933.0,TIGER 미국S&P500배당귀족,12575.0,하락  45,-0.36%,0.0,12570.0
934.0,삼익악기,1170.0,보합0,0.00%,500.0,1167.0
935.0,RISE 2차전지TOP10인버스(합성),34300.0,상승  345,+1.02%,0.0,34300.0
936.0,한투 S&P500 선물 ETN,21080.0,상승  95,+0.45%,0.0,20925.0
937.0,한국특강,1733.0,하락  12,-0.69%,500.0,1733.0
938.0,한투 인버스2X 나스닥100 ETN B,10530.0,상승  220,+2.13%,0.0,10515.0
939.0,한투 레버리지 천연가스 선물 ETN B,10515.0,"하락  1,700",-13.92%,0.0,10500.0
940.0,한진중공업홀딩스,3545.0,보합0,0.00%,5000.0,3545.0
941.0,KODEX K-메타버스액티브,6940.0,상승  55,+0.80%,0.0,6925.0
942.0,현대약품,3230.0,보합0,0.00%,500.0,3230.0
943.0,KIWOOM 단기자금,102285.0,상승  10,+0.01%,0.0,102285.0
944.0,경동도시가스,17500.0,하락  30,-0.17%,2500.0,17500.0
945.0,KODEX 미국S&P500데일리커버드콜OTM,9550.0,하락  25,-0.26%,0.0,9545.0
946.0,KIWOOM 단기채권ESG액티브,107325.0,상승  20,+0.02%,0.0,107315.0
947.0,한솔홀딩스,2510.0,상승  40,+1.62%,1000.0,2510.0
948.0,모나리자,2815.0,하락  10,-0.35%,500.0,2815.0
949.0,동일고무벨트,7400.0,하락  50,-0.67%,500.0,7380.0
950.0,디와이,3905.0,하락  40,-1.01%,500.0,3900.0
951.0,크라운제과,8200.0,상승  20,+0.24%,200.0,8160.0
952.0,TIGER 여행레저,2980.0,상승  20,+0.68%,0.0,2975.0
953.0,TIGER 글로벌메타버스액티브,11410.0,하락  170,-1.47%,0.0,11390.0
954.0,미래에셋 인버스 2X 코스닥150 선물 ETN,6805.0,상승  225,+3.42%,0.0,6805.0
955.0,RISE 단기채권알파액티브,111662.0,하락  23,-0.02%,0.0,111655.0
956.0,PLUS 국공채머니마켓액티브,51005.0,보합0,0.00%,0.0,51000.0
957.0,TIGER 글로벌4차산업혁신기술(합성 H),16745.0,하락  235,-1.38%,0.0,16740.0
958.0,TIGER 차이나CSI300레버리지(합성),19505.0,하락  605,-3.01%,0.0,19505.0
959.0,광전자,1734.0,하락  9,-0.52%,500.0,1734.0
960.0,PLUS 코스피TR,14430.0,하락  10,-0.07%,0.0,14415.0
961.0,동성제약,3840.0,하락  25,-0.65%,1000.0,3840.0
962.0,RISE 메타버스,5910.0,상승  50,+0.85%,0.0,5870.0
963.0,조흥,164500.0,하락  300,-0.18%,5000.0,164400.0
964.0,NI스틸,3440.0,하락  35,-1.01%,500.0,3430.0
965.0,국제약품,4645.0,하락  5,-0.11%,1000.0,4640.0
966.0,ACE 25-06 회사채(AA-이상)액티브,10820.0,상승  5,+0.05%,0.0,10820.0
967.0,코스맥스비티아이,10190.0,상승  140,+1.39%,500.0,10110.0
968.0,한신기계,3015.0,상승  35,+1.17%,500.0,3015.0
969.0,금호건설,2645.0,상승  15,+0.57%,5000.0,2645.0
970.0,TIGER 우주방산,18715.0,하락  635,-3.28%,0.0,18710.0
971.0,동일산업,40100.0,하락  150,-0.37%,5000.0,40000.0
972.0,HS화성,9540.0,하락  120,-1.24%,5000.0,9520.0
973.0,두올,3090.0,하락  35,-1.12%,2500.0,3090.0
974.0,ACE 미국30년국채액티브,10490.0,보합0,0.00%,0.0,10485.0
975.0,진양산업,7420.0,보합0,0.00%,500.0,7420.0
976.0,HANARO 200TR,45900.0,상승  210,+0.46%,0.0,45865.0
977.0,SK이노베이션우,76900.0,하락  500,-0.65%,5000.0,76700.0
978.0,태양금속,2610.0,하락  80,-2.97%,500.0,2610.0
979.0,ACE 단기통안채,101020.0,상승  20,+0.02%,0.0,101020.0
980.0,RISE 글로벌원자력,19090.0,하락  25,-0.13%,0.0,19060.0
981.0,동인기연,15450.0,하락  100,-0.64%,100.0,15450.0
982.0,현대코퍼레이션홀딩스,10400.0,하락  10,-0.10%,5000.0,10400.0
983.0,삼원강재,2350.0,상승  15,+0.64%,500.0,2345.0
984.0,덕양산업,2885.0,상승  15,+0.52%,500.0,2875.0
985.0,휴비스,2720.0,하락  10,-0.37%,5000.0,2720.0
986.0,RISE 중기우량회사채,106945.0,보합0,0.00%,0.0,106940.0
987.0,TIGER 배당커버드콜액티브,10640.0,상승  10,+0.09%,0.0,10640.0
988.0,인지컨트롤스,5890.0,하락  20,-0.34%,500.0,5870.0
989.0,하이스틸,4600.0,상승  395,+9.39%,500.0,4595.0
990.0,삼부토건,404.0,하락  18,-4.27%,1000.0,403.0
991.0,대현,2080.0,하락  15,-0.72%,500.0,2055.0
992.0,신영와코루,10200.0,하락  30,-0.29%,500.0,10200.0
993.0,한컴라이프케어,3305.0,하락  30,-0.90%,200.0,3305.0
994.0,KODEX 삼성전자채권혼합,10865.0,상승  60,+0.56%,0.0,10865.0
995.0,세이브존I&C,2220.0,하락  45,-1.99%,1000.0,2215.0
996.0,TIMEFOLIO Korea플러스배당액티브,13035.0,하락  60,-0.46%,0.0,13035.0
997.0,KODEX 배당가치,14100.0,상승  60,+0.43%,0.0,14095.0
998.0,에이플러스에셋,3990.0,하락  35,-0.87%,500.0,3985.0
999.0,성창기업지주,1288.0,하락  1,-0.08%,500.0,1276.0
1000.0,ACE KPOP포커스,9530.0,상승  180,+1.93%,0.0,9525.0
1001.0,사조씨푸드,5200.0,하락  10,-0.19%,1000.0,5180.0
1002.0,한국내화,2175.0,하락  40,-1.81%,500.0,2160.0
1003.0,N2 레버리지 S&P500 ETN,44615.0,하락  680,-1.50%,0.0,44615.0
1004.0,평화홀딩스,6070.0,하락  280,-4.41%,500.0,6050.0
1005.0,KTis,2550.0,상승  5,+0.20%,500.0,2550.0
1006.0,신한 레버리지 금 선물 ETN,44270.0,하락  430,-0.96%,0.0,44240.0
1007.0,PLUS 고배당주위클리커버드콜,9165.0,하락  10,-0.11%,0.0,9160.0
1008.0,영보화학,4390.0,하락  210,-4.57%,500.0,4385.0
1009.0,KODEX 성장주,14845.0,하락  100,-0.67%,0.0,14880.0
1010.0,화승코퍼레이션,1749.0,하락  4,-0.23%,500.0,1741.0
1011.0,황금에스티,5120.0,하락  50,-0.97%,500.0,5110.0
1012.0,RISE 코스닥150,11765.0,하락  225,-1.88%,0.0,11765.0
1013.0,대구백화점,8000.0,상승  80,+1.01%,5000.0,8000.0
1014.0,제일연마,8720.0,하락  170,-1.91%,500.0,8720.0
1015.0,TIGER 200선물레버리지,13150.0,상승  130,+1.00%,0.0,13140.0
1016.0,ACE 미국30년국채선물레버리지(합성 H),6010.0,하락  50,-0.83%,0.0,6005.0
1017.0,무림페이퍼,2045.0,하락  30,-1.45%,2500.0,2045.0
1018.0,와이투솔루션,2325.0,상승  25,+1.09%,2500.0,2320.0
1019.0,KODEX AI반도체,9545.0,상승  155,+1.65%,0.0,9520.0
1020.0,깨끗한나라,2280.0,상승  5,+0.22%,1000.0,2275.0
1021.0,TIGER Fn메타버스,6545.0,상승  35,+0.54%,0.0,6545.0
1022.0,HL D&I,2235.0,하락  30,-1.32%,5000.0,2235.0
1023.0,TIGER 중국소비테마,6480.0,상승  80,+1.25%,0.0,6470.0
1024.0,ACE 미국반도체데일리타겟커버드콜(합성),9390.0,하락  60,-0.63%,0.0,9385.0
1025.0,TIGER 일본엔선물,9255.0,하락  65,-0.70%,0.0,9255.0
1026.0,TIGER 골드선물(H),19420.0,하락  115,-0.59%,0.0,19420.0
1027.0,유니온머티리얼,1984.0,하락  21,-1.05%,500.0,1984.0
1028.0,KIWOOM 미국S&P500,16615.0,하락  90,-0.54%,0.0,16600.0
1029.0,NH프라임리츠,4440.0,하락  30,-0.67%,500.0,4440.0
1030.0,TIGER 글로벌온디바이스AI,10160.0,하락  100,-0.97%,0.0,10160.0
1031.0,DRB동일,4140.0,상승  15,+0.36%,500.0,4140.0
1032.0,CS홀딩스,71300.0,하락  600,-0.83%,5000.0,71300.0
1033.0,신송홀딩스,6950.0,하락  70,-1.00%,500.0,6950.0
1034.0,동방아그로,6020.0,하락  20,-0.33%,500.0,6010.0
1035.0,ACE 미국빅테크TOP7 Plus레버리지(합성),22635.0,하락  410,-1.78%,0.0,22625.0
1036.0,텔코웨어,8800.0,하락  190,-2.11%,500.0,8790.0
1037.0,TIGER 2차전지TOP10레버리지,1309.0,하락  28,-2.09%,0.0,1306.0
1038.0,KODEX 반도체레버리지,10600.0,상승  290,+2.81%,0.0,10565.0
1039.0,동부건설,3525.0,하락  55,-1.54%,5000.0,3525.0
1040.0,성안머티리얼스,596.0,하락  11,-1.81%,100.0,596.0
1041.0,유니온,5170.0,하락  60,-1.15%,500.0,5170.0
1042.0,크라운해태홀딩스,5390.0,하락  60,-1.10%,500.0,5390.0
1043.0,써니전자,2180.0,상승  10,+0.46%,500.0,2175.0
1044.0,TIGER 글로벌AI&로보틱스 INDXX,12775.0,상승  15,+0.12%,0.0,12740.0
1045.0,HANARO 머니마켓액티브,51270.0,상승  10,+0.02%,0.0,51265.0
1046.0,사조오양,8420.0,하락  70,-0.82%,5000.0,8410.0
1047.0,티웨이홀딩스,697.0,하락  2,-0.29%,500.0,697.0
1048.0,세원정공,7840.0,하락  50,-0.63%,500.0,7840.0
1049.0,팜스코,2130.0,하락  30,-1.39%,500.0,2130.0
1050.0,호전실업,8020.0,상승  120,+1.52%,500.0,8020.0
1051.0,TIGER 200TR,20465.0,상승  100,+0.49%,0.0,20440.0
1052.0,남광토건,7890.0,하락  140,-1.74%,5000.0,7890.0
1053.0,TIGER AI반도체핵심공정,9055.0,상승  95,+1.06%,0.0,9055.0
1054.0,PLUS 한화그룹주,17015.0,"하락  1,165",-6.41%,0.0,17010.0
1055.0,한투 블룸버그 인버스 2X 천연가스선물 ETN,19260.0,"상승  2,455",+14.61%,0.0,19260.0
1056.0,삼호개발,3075.0,하락  5,-0.16%,500.0,3075.0
1057.0,유엔젤,5790.0,상승  150,+2.66%,500.0,5780.0
1058.0,KODEX TRF5050,16175.0,하락  10,-0.06%,0.0,16165.0
1059.0,유유제약,4430.0,하락  25,-0.56%,1000.0,4410.0
1060.0,진양화학,3550.0,하락  30,-0.84%,500.0,3545.0
1061.0,동원금속,1596.0,하락  90,-5.34%,500.0,1595.0
1062.0,팜젠사이언스,4090.0,하락  45,-1.09%,500.0,4085.0
1063.0,남양유업우,37150.0,상승  250,+0.68%,500.0,36950.0
1064.0,TIGER 미국배당다우존스타겟커버드콜1호,11935.0,하락  20,-0.17%,0.0,11930.0
